year,day,completed
2015,1,1
2015,2,1
2015,3,1
2015,4,1
2015,5,1
2015,6,1
2015,7,1
2015,8,1
2015,9,1
2015,10,1
2015,11,1
2015,12,1
2015,13,1
2015,14,1
2015,15,1
2015,16,1
2015,17,1
2015,18,1
2015,19,1
2015,20,1
2015,21,1
2015,22,1
2015,23,1
2015,24,1
2015,25,1
2016,1,1
2016,2,1
2016,3,1
2016,4,1
2016,5,1
2016,6,1
2016,7,1
2016,8,1
2016,9,1
2016,10,1
2016,11,1
2016,12,1
2016,13,1
2016,14,1
2016,15,1
2016,16,0
2016,17,0
2016,18,0
2016,19,0
2016,20,0
2016,21,0
2016,22,0
2016,23,0
2016,24,0
2016,25,0
2017,1,1
2017,2,1
2017,3,1
2017,4,1
2017,5,1
2017,6,1
2017,7,1
2017,8,1
2017,9,1
2017,10,1
2017,11,1
2017,12,1
2017,13,0
2017,14,0
2017,15,0
2017,16,0
2017,17,0
2017,18,0
2017,19,0
2017,20,0
2017,21,0
2017,22,0
2017,23,0
2017,24,0
2017,25,0
2018,1,1
2018,2,1
2018,3,1
2018,4,1
2018,5,1
2018,6,1
2018,7,1
2018,8,1
2018,9,1
2018,10,1
2018,11,1
2018,12,0
2018,13,0
2018,14,0
2018,15,0
2018,16,0
2018,17,0
2018,18,0
2018,19,0
2018,20,0
2018,21,0
2018,22,0
2018,23,0
2018,24,0
2018,25,0
2019,1,1
2019,2,1
2019,3,1
2019,4,1
2019,5,1
2019,6,1
2019,7,1
2019,8,1
2019,9,1
2019,10,1
2019,11,0
2019,12,0
2019,13,0
2019,14,0
2019,15,0
2019,16,0
2019,17,0
2019,18,0
2019,19,0
2019,20,0
2019,21,0
2019,22,0
2019,23,0
2019,24,0
2019,25,0
2020,1,1
2020,2,1
2020,3,1
2020,4,1
2020,5,1
2020,6,1
2020,7,1
2020,8,1
2020,9,1
2020,10,1
2020,11,1
2020,12,1
2020,13,1
2020,14,1
2020,15,1
2020,16,0
2020,17,0
2020,18,0
2020,19,0
2020,20,0
2020,21,0
2020,22,0
2020,23,0
2020,24,0
2020,25,0
2021,1,1
2021,2,1
2021,3,1
2021,4,1
2021,5,1
2021,6,1
2021,7,1
2021,8,1
2021,9,1
2021,10,1
2021,11,1
2021,12,1
2021,13,1
2021,14,1
2021,15,1
2021,16,0
2021,17,0
2021,18,0
2021,19,0
2021,20,0
2021,21,0
2021,22,0
2021,23,0
2021,24,0
2021,25,0
2022,1,1
2022,2,1
2022,3,1
2022,4,1
2022,5,1
2022,6,1
2022,7,1
2022,8,1
2022,9,1
2022,10,1
2022,11,1
2022,12,1
2022,13,1
2022,14,1
2022,15,1
2022,16,1
2022,17,1
2022,18,1
2022,19,1
2022,20,1
2022,21,1
2022,22,0
2022,23,0
2022,24,0
2022,25,0
2023,1,1
2023,2,1
2023,3,1
2023,4,1
2023,5,1
2023,6,1
2023,7,1
2023,8,1
2023,9,1
2023,10,1
2023,11,1
2023,12,1
2023,13,1
2023,14,1
