,title,solution_1,solution_2,runtime_1,runtime_2,video_link
201501,--- Day 1: Not Quite Lisp ---,232,1783,6.604194641113281e-05,0.0002460479736328125,
201502,--- Day 2: I Was Told There Would Be No Math ---,1606483,3842356,0.0027179718017578125,0.0013451576232910156,
201503,--- Day 3: Perfectly Spherical Houses in a Vacuum ---,2572,2631,0.0039348602294921875,0.004525899887084961,
201504,--- Day 4: The Ideal Stocking Stuffer ---,346386,9958218,0.7769360542297363,16.151334285736084,
201505,--- Day 5: Doesn't He Have Intern-Elves For This? ---,258,53,0.0027179718017578125,0.024369001388549805,
201506,--- Day 6: Probably a Fire Hazard ---,543903,14687245,0.03903794288635254,0.06492996215820312,
201507,--- Day 7: Some Assembly Required ---,46065,14134,0.00045490264892578125,0.0005819797515869141,
201508,--- Day 8: Matchsticks ---,1371,2117,0.00232696533203125,0.000141143798828125,
201509,--- Day 9: All in a Single Night ---,207,804,0.928917646408081,0.9297993183135986,
201510,"--- Day 10: Elves Look, Elves Say ---",329356,4666278,0.32350611686706543,4.926421642303467,
201511,--- Day 11: Corporate Policy ---,hepxxyzz,heqaabcd,0.4150252342224121,1.7428860664367676,
201512,--- Day 12: JSAbacusFramework.io ---,191164,87842,0.0028159618377685547,0.001806020736694336,
201513,--- Day 13: Knights of the Dinner Table ---,618,601,1.6493620872497559,19.94362497329712,
201514,--- Day 14: Reindeer Olympics ---,2660,1256,4.38690185546875e-05,0.022277116775512695,
201515,--- Day 15: Science for Hungry People ---,21367368,1766400,0.00723576545715332,0.0076291561126708984,
201516,--- Day 16: Aunt Sue ---,103,405,0.001132965087890625,0.0009367465972900391,
201517,--- Day 17: No Such Thing as Too Much ---,4372,4,0.06505298614501953,0.06739187240600586,
201518,--- Day 18: Like a GIF For Your Yard ---,768,781,7.659775972366333,7.736070871353149,
201519,--- Day 19: Medicine for Rudolph ---,518,200,0.00321197509765625,0.047365665435791016,
201520,--- Day 20: Infinite Elves and Infinite Houses ---,776160,786240,1.4432451725006104,1.8889870643615723,
201521,--- Day 21: RPG Simulator 20XX ---,78,148,0.0008513927459716797,0.001049041748046875,
201522,--- Day 22: Wizard Simulator 20XX ---,953,1289,5.901197671890259,6.203397989273071,
201523,--- Day 23: Opening the Turing Lock ---,170,247,0.0005772113800048828,0.0007638931274414062,
201524,--- Day 24: It Hangs in the Balance ---,11266889531,77387711,0.08689498901367188,0.02104020118713379,
201525,--- Day 25: Let It Snow ---,2650453,,5.920357942581177,,
201601,--- Day 1: No Time for a Taxicab ---,278,161,0.00033402442932128906,0.0002758502960205078,
201602,--- Day 2: Bathroom Security ---,53255,7423A,0.0002551078796386719,0.0003437995910644531,
201603,--- Day 3: Squares With Three Sides ---,917,1649,0.002830028533935547,0.003131866455078125,
201604,--- Day 4: Security Through Obscurity ---,278221,267,0.008533000946044922,0.0037348270416259766,
201605,--- Day 5: How About a Nice Game of Chess? ---,f77a0e6e,999828ec,13.324863195419312,42.7114098072052,
201606,--- Day 6: Signals and Noise ---,bjosfbce,veqfxzfx,0.04291796684265137,0.048400163650512695,
201607,--- Day 7: Internet Protocol Version 7 ---,110,242,0.03659796714782715,0.026593923568725586,
201608,--- Day 8: Two-Factor Authentication ---,106," ##  #### #    #### #     ##  #   #####  ##   ### 
#  # #    #    #    #    #  # #   ##    #  # #    
#    ###  #    ###  #    #  #  # # ###  #    #    
#    #    #    #    #    #  #   #  #    #     ##  
#  # #    #    #    #    #  #   #  #    #  #    # 
 ##  #    #### #### ####  ##    #  #     ##  ###  ",0.0015099048614501953,0.0011851787567138672,
201609,--- Day 9: Explosives in Cyberspace ---,120765,11658395076,0.00017690658569335938,0.0023550987243652344,
201610,--- Day 10: Balance Bots ---,181,12567,0.00222015380859375,0.0038127899169921875,
201611,--- Day 11: Radioisotope Thermoelectric Generators ---,47,71,0.5635089874267578,3.174161195755005,
201612,--- Day 12: Leonardo's Monorail ---,318007,9227661,0.4203379154205322,12.219669818878174,
201613,--- Day 13: A Maze of Twisty Little Cubicles ---,86,127,0.0005700588226318359,0.00034499168395996094,
201614,--- Day 14: One-Time Pad ---,35186,22429,0.1603550910949707,48.031116008758545,
201615,--- Day 15: Timing is Everything ---,122318,3208583,0.00020194053649902344,3.0040740966796875e-05,
201616,--- Day 16: Dragon Checksum ---,,,,,
201617,--- Day 17: Two Steps Forward ---,,,,,
201618,--- Day 18: Like a Rogue ---,,,,,
201619,--- Day 19: An Elephant Named Joseph ---,,,,,
201620,--- Day 20: Firewall Rules ---,,,,,
201621,--- Day 21: Scrambled Letters and Hash ---,,,,,
201622,--- Day 22: Grid Computing ---,,,,,
201623,--- Day 23: Safe Cracking ---,,,,,
