year,day,link
2015,1,no link
2015,2,no link
2015,3,no link
2015,4,no link
2015,5,no link
2015,6,no link
2015,7,no link
2015,8,no link
2015,9,no link
2015,10,no link
2015,11,no link
2015,12,no link
2015,13,no link
2015,14,no link
2015,15,no link
2015,16,no link
2015,17,no link
2015,18,no link
2015,19,no link
2015,20,no link
2015,21,no link
2015,22,no link
2015,23,no link
2015,24,no link
2015,25,no link
2016,1,no link
2016,2,no link
2016,3,no link
2016,4,no link
2016,5,no link
2016,6,no link
2016,7,no link
2016,8,no link
2016,9,no link
2016,10,no link
2016,11,no link
2016,12,no link
2016,13,no link
2016,14,no link
2016,15,no link
2016,16,no link
2016,17,no link
2016,18,no link
2016,19,no link
2016,20,no link
2016,21,no link
2016,22,no link
2016,23,no link
2016,24,no link
2016,25,no link
2017,1,no link
2017,2,no link
2017,3,no link
2017,4,no link
2017,5,no link
2017,6,no link
2017,7,no link
2017,8,no link
2017,9,no link
2017,10,no link
2017,11,no link
2017,12,no link
2017,13,no link
2017,14,no link
2017,15,no link
2017,16,no link
2017,17,no link
2017,18,no link
2017,19,no link
2017,20,no link
2017,21,no link
2017,22,no link
2017,23,no link
2017,24,no link
2017,25,no link
2018,1,no link
2018,2,no link
2018,3,no link
2018,4,no link
2018,5,no link
2018,6,no link
2018,7,no link
2018,8,no link
2018,9,no link
2018,10,no link
2018,11,no link
2018,12,no link
2018,13,no link
2018,14,no link
2018,15,no link
2018,16,no link
2018,17,no link
2018,18,no link
2018,19,no link
2018,20,no link
2018,21,no link
2018,22,no link
2018,23,no link
2018,24,no link
2018,25,no link
2019,1,no link
2019,2,no link
2019,3,no link
2019,4,no link
2019,5,no link
2019,6,no link
2019,7,no link
2019,8,no link
2019,9,no link
2019,10,no link
2019,11,no link
2019,12,no link
2019,13,no link
2019,14,no link
2019,15,no link
2019,16,no link
2019,17,no link
2019,18,no link
2019,19,no link
2019,20,no link
2019,21,no link
2019,22,no link
2019,23,no link
2019,24,no link
2019,25,no link
2020,1,no link
2020,2,no link
2020,3,no link
2020,4,no link
2020,5,no link
2020,6,no link
2020,7,no link
2020,8,no link
2020,9,no link
2020,10,no link
2020,11,no link
2020,12,no link
2020,13,no link
2020,14,no link
2020,15,no link
2020,16,no link
2020,17,no link
2020,18,no link
2020,19,no link
2020,20,no link
2020,21,no link
2020,22,no link
2020,23,no link
2020,24,no link
2020,25,no link
2021,1,no link
2021,2,no link
2021,3,no link
2021,4,no link
2021,5,no link
2021,6,no link
2021,7,no link
2021,8,no link
2021,9,no link
2021,10,no link
2021,11,no link
2021,12,no link
2021,13,no link
2021,14,no link
2021,15,no link
2021,16,no link
2021,17,no link
2021,18,no link
2021,19,no link
2021,20,no link
2021,21,no link
2021,22,no link
2021,23,no link
2021,24,no link
2021,25,no link
2022,1,no link
2022,2,no link
2022,3,no link
2022,4,no link
2022,5,no link
2022,6,no link
2022,7,no link
2022,8,no link
2022,9,no link
2022,10,no link
2022,11,no link
2022,12,no link
2022,13,no link
2022,14,no link
2022,15,no link
2022,16,no link
2022,17,no link
2022,18,no link
2022,19,no link
2022,20,no link
2022,21,no link
2022,22,no link
2022,23,no link
2022,24,no link
2022,25,no link
2023,1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JCPRb_rP1Kc?si=txQZXQlgFedtUYSm"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
2023,2,no link
2023,3,no link
2023,4,no link
2023,5,no link
2023,6,no link
2023,7,no link
2023,8,no link
2023,9,no link
2023,10,no link
2023,11,no link
2023,12,no link
2023,13,no link
2023,14,no link
2023,15,no link
2023,16,no link
2023,17,no link
2023,18,no link
2023,19,no link
2023,20,no link
2023,21,no link
2023,22,no link
2023,23,no link
2023,24,no link
2023,25,no link
